929;2,232;2,526;2,389;0,315;0,337;0,363;2,67;2,827;2,712;2,919;2,878;2,382
959;2,415;2,742;2,588;0,339;0,383;0,386;2,848;3,02;3,025;3,083;3,021;2,531
989;2,573;2,857;2,774;0,352;0,377;0,436;3,105;3,194;3,26;3,199;3,2;2,667
1019;2,751;3,041;2,984;0,39;0,394;0,468;3,375;3,559;3,43;3,289;3,344;2,857
1049;2,92;3,34;3,195;0,439;0,387;0,485;3,673;3,863;3,735;3,465;3,567;3,075
1079;3,293;3,657;3,526;0,457;0,42;0,491;3,692;3,969;3,927;3,83;3,865;3,303
1109;3,401;3,861;3,685;0,501;0,464;0,492;4,143;4,364;4,202;4,096;4,159;3,642
1139;3,738;4,132;4,069;0,522;0,463;0,539;4,547;4,74;4,552;4,33;4,433;3,923
1169;4,102;4,62;4,344;0,531;0,475;0,575;4,81;5,101;5,005;4,855;4,922;4,302
1203;4,537;5,086;4,868;0,523;0,525;0,58;5,184;5,554;5,411;5,097;5,391;4,559
1233;4,82;5,542;5,235;0,525;0,572;0,571;5,399;6,006;5,738;5,575;5,737;5,02
1264;5,133;5,904;5,732;0,591;0,572;0,611;5,695;6,476;6,082;6,33;6,435;5,559
1293;5,451;6,247;6,165;0,635;0,591;0,616;5,98;6,498;6,609;6,729;6,951;6,086
1323;5,792;6,664;6,453;0,638;0,57;0,613;6,362;6,794;6,775;7,24;7,463;6,6
1354;6,234;6,99;6,827;0,636;0,596;0,592;6,646;7,16;7,112;7,743;8,02;7,198
1383;6,468;7,366;7,275;0,643;0,586;0,569;6,699;7,385;7,385;8,464;8,771;7,712
1413;6,881;7,604;7,393;0,629;0,568;0,596;7,121;7,646;7,647;8,914;9,211;8,186
1443;7,113;8,166;7,898;0,643;0,568;0,609;7,156;7,95;7,921;9,332;9,702;8,675
1477;7,374;8,322;8,159;0,644;0,606;0,605;7,364;8,331;8,094;9,86;9,94;9,321
1507;7,592;8,662;8,479;0,636;0,62;0,616;7,626;8,72;8,284;10,318;10,958;9,953
1544;7,895;9,064;8,57;0,631;0,605;0,654;7,633;8,89;8,513;11,028;11,496;10,454
1575;8,017;9,2;8,786;0,637;0,607;0,618;7,899;9,129;8,677;11,366;11,801;11,049
1605;8,352;9,667;9,125;0,637;0,652;0,665;7,973;9,156;8,895;11,977;12,464;11,337
1635;8,459;9,776;9,153;0,637;0,642;0,698;8,199;9,439;9,271;12,326;12,533;11,694
1665;8,448;9,852;9,485;0,632;0,61;0,7;8,194;9,584;9,349;12,651;13,049;12,319
1695;8,806;10,156;9,818;0,645;0,613;0,658;8,362;9,824;9,352;13,043;13,185;12,332
1725;9,015;10,464;10,007;0,629;0,61;0,659;8,571;9,8;9,581;13,361;13,659;13,316
1755;9,136;10,583;10;0,627;0,611;0,652;8,575;9,859;9,744;13,368;13,651;13,451
1785;9,138;10,574;10,104;0,632;0,606;0,664;8,561;10,059;9,748;13,788;14,474;13,87
1815;9,148;10,548;10,491;0,629;0,604;0,614;8,807;10,201;10,203;13,797;14,618;14,386
1845;9,446;10,776;10,512;0,631;0,609;0,62;8,808;10,092;10,216;15,067;14,698;14,859
1875;9,454;10,785;10,49;0,606;0,648;0,661;8,8;10,212;10,215;15,115;15,345;14,91
1905;9,426;11,02;11,032;0,624;0,609;0,614;8,808;10,218;9,927;15,116;15,922;15,431
1936;9,445;10,742;10,887;0,595;0,613;0,704;8,806;10,212;9,948;15,707;15,959;15,431
1967;9,849;11,025;11,028;0,602;0,611;0,607;8,807;10,221;10,231;15,704;16,344;15,701
1997;9,979;11,027;11,058;0,604;0,607;0,604;8,754;10,066;9,956;15,691;16,349;16,321
2027;9,975;11,013;11,043;0,606;0,608;0,609;8,825;10,217;10,219;16,226;16,407;16,307
2057;9,963;11,302;11,048;0,606;0,614;0,597;8,807;10,191;10,244;16,302;16,408;16,266
2087;9,977;11,255;11,033;0,601;0,587;0,595;8,807;10,309;10,227;16,273;16,425;16,673
2117;9,952;11,448;11,045;0,604;0,605;0,61;8,997;10,311;10,226;16,37;17,067;16,661
